,ascent,conditionDate,conditionDetails,conditionStatus,descent,difficulty,high,id,imgMedium,imgSmall,imgSmallMed,imgSqSmall,latitude,length,location,longitude,low,name,starVotes,stars,summary,type,url
0,1671,1970-01-01 00:00:00,,Unknown,-1672,blueBlack,3266,7047615,https://cdn-files.apstatic.com/hike/7059178_medium_1559537575.jpg,https://cdn-files.apstatic.com/hike/7059178_small_1559537575.jpg,https://cdn-files.apstatic.com/hike/7059178_smallMed_1559537575.jpg,https://cdn-files.apstatic.com/hike/7059178_sqsmall_1559537575.jpg,45.9627,4.5,"Seaside, Oregon",-123.6899,1704,Saddle Mountain Trail,16,4.6,This is perhaps the best hike on the west coast of Northern Oregon.,Featured Hike,https://www.hikingproject.com/trail/7047615/saddle-mountain-trail
1,710,2019-05-19 12:25:26,"Some Mud - Some mud today (May 19th), but not bad. Just be sure to wear appropriate hiking shoes.",All Clear,-699,blue,761,7025215,https://cdn-files.apstatic.com/hike/7055011_medium_1555708128.jpg,https://cdn-files.apstatic.com/hike/7055011_small_1555708128.jpg,https://cdn-files.apstatic.com/hike/7055011_smallMed_1555708128.jpg,https://cdn-files.apstatic.com/hike/7055011_sqsmall_1555708128.jpg,45.9311,2.6,"Cannon Beach, Oregon",-123.9785,50,Clatsop Loop Trail,13,4.3,Work your way through a coastal rain forest to the top of a headland in the footsteps of the Lewis and Clark Expedition.,Trail,https://www.hikingproject.com/trail/7025215/clatsop-loop-trail
2,168,1970-01-01 00:00:00,,Unknown,-300,greenBlue,311,7012607,https://cdn-files.apstatic.com/hike/7035985_medium_1555021318.jpg,https://cdn-files.apstatic.com/hike/7035985_small_1555021318.jpg,https://cdn-files.apstatic.com/hike/7035985_smallMed_1555021318.jpg,https://cdn-files.apstatic.com/hike/7035985_sqsmall_1555021318.jpg,45.9196,1.1,"Cannon Beach, Oregon",-123.9743,40,OCT: Ecola Point to Indian Beach,6,3.5,A forested tral with occasional views of the ocean.,Trail,https://www.hikingproject.com/trail/7012607/oct-ecola-point-to-indian-beach
3,180,1970-01-01 00:00:00,,Unknown,-115,greenBlue,550,7050277,https://cdn-files.apstatic.com/hike/7049067_medium_1555540586.jpg,https://cdn-files.apstatic.com/hike/7049067_small_1555540586.jpg,https://cdn-files.apstatic.com/hike/7049067_smallMed_1555540586.jpg,https://cdn-files.apstatic.com/hike/7049067_sqsmall_1555540586.jpg,45.8468,1.6,"Cannon Beach, Oregon",-123.7623,398,Soapstone Lake Trail,2,3.5,Needs Summary,Trail,https://www.hikingproject.com/trail/7050277/soapstone-lake-trail
4,44,1970-01-01 00:00:00,,Unknown,-5,green,51,7056781,https://cdn-files.apstatic.com/hike/7052305_medium_1555695101.jpg,https://cdn-files.apstatic.com/hike/7052305_small_1555695101.jpg,https://cdn-files.apstatic.com/hike/7052305_smallMed_1555695101.jpg,https://cdn-files.apstatic.com/hike/7052305_sqsmall_1555695101.jpg,46.1211,1.1,"Warrenton, Oregon",-123.8767,10,Netul Landing Trail,1,2.0,"A flat, even trail along the river from a parking area to Fort Clatsop Visitor Center.",Trail,https://www.hikingproject.com/trail/7056781/netul-landing-trail
19,772,1970-01-01 00:00:00,,Unknown,-359,greenBlue,937,7032711,,,,,45.6219,23.0,"Banks, Oregon",-123.1139,203,Banks-Vernonia State Trail,5,4.6,This paved rail-to-trail offers several miles of rural hiking through beautiful forests and fields.,Trail,https://www.hikingproject.com/trail/7032711/banks-vernonia-state-trail
24,19,1970-01-01 00:00:00,,Unknown,-18,green,22,7053213,,,,,46.1564,2.7,"Longview Heights, Washington",-122.9549,9,Pacific Way Trail,1,4.0,A gravel path along the dike in West Longview.,Trail,https://www.hikingproject.com/trail/7053213/pacific-way-trail
25,1278,1970-01-01 00:00:00,,Unknown,-34,green,1276,7020538,https://cdn-files.apstatic.com/hike/7029339_medium_1554924223.jpg,https://cdn-files.apstatic.com/hike/7029339_small_1554924223.jpg,https://cdn-files.apstatic.com/hike/7029339_smallMed_1554924223.jpg,https://cdn-files.apstatic.com/hike/7029339_sqsmall_1554924223.jpg,45.7454,14.0,"Scappoose, Oregon",-122.8409,14,Crown Zellerbach Trail,1,3.0,A somewhat rough rail-to-trail that starts in Scappoose and climbs into the Coastal Range.,Trail,https://www.hikingproject.com/trail/7020538/crown-zellerbach-trail
26,73,1970-01-01 00:00:00,,Unknown,-74,green,23,7051847,https://cdn-files.apstatic.com/hike/7049970_medium_1555689608.jpg,https://cdn-files.apstatic.com/hike/7049970_small_1555689608.jpg,https://cdn-files.apstatic.com/hike/7049970_smallMed_1555689608.jpg,https://cdn-files.apstatic.com/hike/7049970_sqsmall_1555689608.jpg,46.138,3.8,"Longview, Washington",-122.9509,10,Lake Sacajawea Loop Trail,1,5.0,"The trail circumnavigates beautiful Lake Sacajawea Park in Longview, Washington.",Trail,https://www.hikingproject.com/trail/7051847/lake-sacajawea-loop-trail
38,3,1970-01-01 00:00:00,,Unknown,-4,green,13,7064820,,,,,45.7991,1.5,"Ridgefield, Washington",-122.7562,11,Kiwa Trail,0,0.0,Needs Summary,Trail,https://www.hikingproject.com/trail/7064820/kiwa-trail
