Hike_ID,ascent,descent,difficulty,high,latitude,length,location,longitude,low,name,starVotes,stars,summary,url
1,1671,-1672,blueBlack,3266,45.9627,4.5,"Seaside, Oregon",-123.6899,1704,Saddle Mountain Trail,16,4.6,This is perhaps the best hike on the west coast of Northern Oregon.,https://www.hikingproject.com/trail/7047615/saddle-mountain-trail
2,710,-699,blue,761,45.9311,2.6,"Cannon Beach, Oregon",-123.9785,50,Clatsop Loop Trail,13,4.3,Work your way through a coastal rain forest to the top of a headland in the footsteps of the Lewis and Clark Expedition.,https://www.hikingproject.com/trail/7025215/clatsop-loop-trail
3,168,-300,greenBlue,311,45.9196,1.1,"Cannon Beach, Oregon",-123.9743,40,OCT: Ecola Point to Indian Beach,6,3.5,A forested tral with occasional views of the ocean.,https://www.hikingproject.com/trail/7012607/oct-ecola-point-to-indian-beach
4,180,-115,greenBlue,550,45.8468,1.6,"Cannon Beach, Oregon",-123.7623,398,Soapstone Lake Trail,2,3.5,Needs Summary,https://www.hikingproject.com/trail/7050277/soapstone-lake-trail
5,44,-5,green,51,46.1211,1.1,"Warrenton, Oregon",-123.8767,10,Netul Landing Trail,1,2.0,"A flat, even trail along the river from a parking area to Fort Clatsop Visitor Center.",https://www.hikingproject.com/trail/7056781/netul-landing-trail
6,772,-359,greenBlue,937,45.6219,23.0,"Banks, Oregon",-123.1139,203,Banks-Vernonia State Trail,5,4.6,This paved rail-to-trail offers several miles of rural hiking through beautiful forests and fields.,https://www.hikingproject.com/trail/7032711/banks-vernonia-state-trail
7,19,-18,green,22,46.1564,2.7,"Longview Heights, Washington",-122.9549,9,Pacific Way Trail,1,4.0,A gravel path along the dike in West Longview.,https://www.hikingproject.com/trail/7053213/pacific-way-trail
8,1278,-34,green,1276,45.7454,14.0,"Scappoose, Oregon",-122.8409,14,Crown Zellerbach Trail,1,3.0,A somewhat rough rail-to-trail that starts in Scappoose and climbs into the Coastal Range.,https://www.hikingproject.com/trail/7020538/crown-zellerbach-trail
9,73,-74,green,23,46.138,3.8,"Longview, Washington",-122.9509,10,Lake Sacajawea Loop Trail,1,5.0,"The trail circumnavigates beautiful Lake Sacajawea Park in Longview, Washington.",https://www.hikingproject.com/trail/7051847/lake-sacajawea-loop-trail
10,3,-4,green,13,45.7991,1.5,"Ridgefield, Washington",-122.7562,11,Kiwa Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064820/kiwa-trail
11,155,-122,green,668,45.8316,2.7,"Yacolt, Washington",-122.3887,545,East Fork of the Lewis River Trail,6,3.8,"A wide, comfortable, gravel trail that follows the East Fork of the Lewis River.",https://www.hikingproject.com/trail/7035492/east-fork-of-the-lewis-river-trail
12,1581,-1130,black,1569,45.8325,8.1,"Yacolt, Washington",-122.3943,660,Bells Mountain Trail,4,4.3,An enjoyable trail with nice views.,https://www.hikingproject.com/trail/7034881/bells-mountain-trail
13,5600,-5599,black,8258,46.1308,10.5,"Amboy, Washington",-122.1715,2675,Mount St. Helens Winter Route: Worm Flows,10,4.9,The Worm Flows Climbing Route is the most direct winter route to the summit of Mount St. Helens.,https://www.hikingproject.com/trail/7030832/mount-st-helens-winter-route-worm-flows
14,369,-377,blue,2458,46.1084,2.5,"Amboy, Washington",-122.2114,2081,Ape Cave,21,4.4,Underground tunnel through old lava tubes.,https://www.hikingproject.com/trail/7012517/ape-cave
