,ascent,conditionDate,conditionDetails,conditionStatus,descent,difficulty,high,id,imgMedium,imgSmall,imgSmallMed,imgSqSmall,latitude,length,location,longitude,low,name,starVotes,stars,summary,type,url
0,1111,2019-06-20 06:51:15,Mostly Dry,All Clear,-1110,blue,2005,7021679,https://cdn-files.apstatic.com/hike/7025173_medium_1554911692.jpg,https://cdn-files.apstatic.com/hike/7025173_small_1554911692.jpg,https://cdn-files.apstatic.com/hike/7025173_smallMed_1554911692.jpg,https://cdn-files.apstatic.com/hike/7025173_sqsmall_1554911692.jpg,47.4347,4.3,"Riverbend, Washington",-121.7688,921,Rattlesnake Ledge,120,4.4,An extremely popular out-and-back hike to the viewpoint on Rattlesnake Ledge.,Featured Hike,https://www.hikingproject.com/trail/7021679/rattlesnake-ledge
1,3281,2019-07-05 15:44:39,Dry,All Clear,-3282,blueBlack,3999,7001016,https://cdn-files.apstatic.com/hike/7004228_medium_1554244390.jpg,https://cdn-files.apstatic.com/hike/7004228_small_1554244390.jpg,https://cdn-files.apstatic.com/hike/7004228_smallMed_1554244390.jpg,https://cdn-files.apstatic.com/hike/7004228_sqsmall_1554244390.jpg,47.4882,6.6,"Tanner, Washington",-121.7233,717,Mt. Si,101,4.4,"A steep, well-maintained trail takes you atop Mt. Si with outrageous views of Puget Sound.",Featured Hike,https://www.hikingproject.com/trail/7001016/mt-si
2,1493,2019-06-03 15:00:52,Snowy - Entire trail still under several feat of snow. Hiked on a warm day but it was already getting soft by 8 am. Very sloshy by early afternoon.,Minor Issues,-1485,blue,6765,7002140,https://cdn-files.apstatic.com/hike/7011377_medium_1554559259.jpg,https://cdn-files.apstatic.com/hike/7011377_small_1554559259.jpg,https://cdn-files.apstatic.com/hike/7011377_smallMed_1554559259.jpg,https://cdn-files.apstatic.com/hike/7011377_sqsmall_1554559259.jpg,46.787,5.3,"Eatonville, Washington",-121.735,5451,Skyline Trail,58,4.8,"A popular and easily accessible route, skirting the slopes of Mount Rainier and Paradise Glacier.",Featured Hike,https://www.hikingproject.com/trail/7002140/skyline-trail
3,370,2019-05-27 13:25:16,Mostly Dry,All Clear,-370,greenBlue,948,7019080,https://cdn-files.apstatic.com/hike/7032460_medium_1554933260.jpg,https://cdn-files.apstatic.com/hike/7032460_small_1554933260.jpg,https://cdn-files.apstatic.com/hike/7032460_smallMed_1554933260.jpg,https://cdn-files.apstatic.com/hike/7032460_sqsmall_1554933260.jpg,47.4527,2.3,"Riverbend, Washington",-121.7053,635,Twin Falls,65,4.4,A classic family-friendly route through old growth trees with a spectacular waterfall in the mix.,Featured Hike,https://www.hikingproject.com/trail/7019080/twin-falls
4,1619,2019-06-29 15:33:55,Some Mud,All Clear,-1618,blue,1807,7005406,https://cdn-files.apstatic.com/hike/7004771_medium_1554310760.jpg,https://cdn-files.apstatic.com/hike/7004771_small_1554310760.jpg,https://cdn-files.apstatic.com/hike/7004771_smallMed_1554310760.jpg,https://cdn-files.apstatic.com/hike/7004771_sqsmall_1554310760.jpg,47.4999,3.9,"Issaquah, Washington",-122.0211,188,Poo Poo Point via Chirico Trail,58,4.3,A great place for a picnic and watching paragliders!,Featured Hike,https://www.hikingproject.com/trail/7005406/poo-poo-point-via-chirico-trail
5,3739,2019-06-27 17:32:47,Snow is gone! There was a quake or slide or something that tears up the trail not long before Lunch Lake turnoff,Minor Issues,-3748,blueBlack,5331,7002051,https://cdn-files.apstatic.com/hike/7015585_medium_1554826582.jpg,https://cdn-files.apstatic.com/hike/7015585_small_1554826582.jpg,https://cdn-files.apstatic.com/hike/7015585_smallMed_1554826582.jpg,https://cdn-files.apstatic.com/hike/7015585_sqsmall_1554826582.jpg,47.9551,17.6,"Forks, Washington",-123.8357,1981,High Divide Loop,37,5.0,This loop is a superlative experience that you'll be eager to repeat.,Featured Hike,https://www.hikingproject.com/trail/7002051/high-divide-loop
6,3873,2019-06-18 23:22:32,Snowy - After the switchbacks there is some icy/snowy areas doable without trekking poles but wish I woulda had em,Minor Issues,-3872,blueBlack,7541,7013011,https://cdn-files.apstatic.com/hike/7036653_medium_1555022779.jpg,https://cdn-files.apstatic.com/hike/7036653_small_1555022779.jpg,https://cdn-files.apstatic.com/hike/7036653_smallMed_1555022779.jpg,https://cdn-files.apstatic.com/hike/7036653_sqsmall_1555022779.jpg,48.4755,11.5,"Stehekin, Washington",-121.075,3669,Cascade Pass to Sahale Arm,29,5.0,Climb steadily through endless switchbacks to an awe-inspiring pass with impressive peaks & glaciers,Featured Hike,https://www.hikingproject.com/trail/7013011/cascade-pass-to-sahale-arm
7,3848,2019-05-27 18:05:19,"Mostly Dry - Trail is in pretty much perfect condition, snow free with minimal mud in places.",All Clear,-3848,blueBlack,4614,7005408,https://cdn-files.apstatic.com/hike/7005310_medium_1554311893.jpg,https://cdn-files.apstatic.com/hike/7005310_small_1554311893.jpg,https://cdn-files.apstatic.com/hike/7005310_smallMed_1554311893.jpg,https://cdn-files.apstatic.com/hike/7005310_sqsmall_1554311893.jpg,47.4666,9.7,"Riverbend, Washington",-121.6739,841,Mailbox Peak Trail,42,4.5,An infamous (easier) hike with a mailbox (maintained by volunteers) at the top!,Featured Hike,https://www.hikingproject.com/trail/7005408/mailbox-peak-trail
8,2419,2019-04-27 17:03:57,Muddy,All Clear,-2419,blue,1837,7003986,https://cdn-files.apstatic.com/hike/7007441_medium_1554322863.jpg,https://cdn-files.apstatic.com/hike/7007441_small_1554322863.jpg,https://cdn-files.apstatic.com/hike/7007441_smallMed_1554322863.jpg,https://cdn-files.apstatic.com/hike/7007441_sqsmall_1554322863.jpg,47.8669,11.1,"Gold Bar, Washington",-121.6779,351,Wallace Falls and Lake,46,4.2,A popular trail system with trail access to both Wallace Falls and Wallace Lake.,Featured Hike,https://www.hikingproject.com/trail/7003986/wallace-falls-and-lake
9,1295,2019-06-09 17:52:08,Snowy - The trail was snowy on June 8 and the road to the trailhead was closed at some point because of the snow; had to walk to it.,Minor Issues,-1295,blue,5875,7002181,https://cdn-files.apstatic.com/hike/7027431_medium_1554916207.jpg,https://cdn-files.apstatic.com/hike/7027431_small_1554916207.jpg,https://cdn-files.apstatic.com/hike/7027431_smallMed_1554916207.jpg,https://cdn-files.apstatic.com/hike/7027431_sqsmall_1554916207.jpg,46.9336,5.6,"Eatonville, Washington",-121.8647,4941,Tolmie Peak,35,4.7,A manageable out-and-back showcasing multiple lakes and panoramic views from atop Tolmie Peak.,Featured Hike,https://www.hikingproject.com/trail/7002181/tolmie-peak
10,2087,1970-01-01 00:00:00,,Unknown,-2086,blueBlack,5273,7021840,https://cdn-files.apstatic.com/hike/7023519_medium_1554845132.jpg,https://cdn-files.apstatic.com/hike/7023519_small_1554845132.jpg,https://cdn-files.apstatic.com/hike/7023519_smallMed_1554845132.jpg,https://cdn-files.apstatic.com/hike/7023519_sqsmall_1554845132.jpg,48.0702,5.4,"Granite Falls, Washington",-121.8148,3188,Mount Pilchuck Trail,35,4.7,A very popular hike to the lookout tower perched on Mount Pilchuck.,Featured Hike,https://www.hikingproject.com/trail/7021840/mount-pilchuck-trail
11,24989,1970-01-01 00:00:00,,Unknown,-25007,black,6759,7002125,https://cdn-files.apstatic.com/hike/7015565_medium_1554826534.jpg,https://cdn-files.apstatic.com/hike/7015565_small_1554826534.jpg,https://cdn-files.apstatic.com/hike/7015565_smallMed_1554826534.jpg,https://cdn-files.apstatic.com/hike/7015565_sqsmall_1554826534.jpg,46.7517,83.5,"Eatonville, Washington",-121.8118,2463,Wonderland Trail,28,4.9,"Circle Mount Rainier's middle slopes on this incredibly strenuous, long-distance hike.",Featured Hike,https://www.hikingproject.com/trail/7002125/wonderland-trail
12,608,2019-06-09 23:37:01,"Snowy, Icy - You'll need micro spikes or possibly snowshoes to get all the way around.",Bad / Closed,-612,greenBlue,5871,7002094,https://cdn-files.apstatic.com/hike/7020767_medium_1554838813.jpg,https://cdn-files.apstatic.com/hike/7020767_small_1554838813.jpg,https://cdn-files.apstatic.com/hike/7020767_smallMed_1554838813.jpg,https://cdn-files.apstatic.com/hike/7020767_sqsmall_1554838813.jpg,46.8719,3.6,"Eatonville, Washington",-121.5159,5298,Naches Peak Loop,28,4.7,"This loop provides some of the best views of Mount Rainier around, and a plethora of wildflowers.",Featured Hike,https://www.hikingproject.com/trail/7002094/naches-peak-loop
13,4414,2019-06-21 10:39:24,"Mostly Dry - Clear trail without even very much mud. Easy, beautiful hiking.",All Clear,-4414,blue,2870,7012540,https://cdn-files.apstatic.com/hike/7048996_medium_1555540426.jpg,https://cdn-files.apstatic.com/hike/7048996_small_1555540426.jpg,https://cdn-files.apstatic.com/hike/7048996_smallMed_1555540426.jpg,https://cdn-files.apstatic.com/hike/7048996_sqsmall_1555540426.jpg,47.5727,35.2,"Quinault, Washington",-123.5701,627,Enchanted Valley Route,17,4.9,The scenic end point is enchanted indeed.,Featured Hike,https://www.hikingproject.com/trail/7012540/enchanted-valley-route
14,2443,2019-05-27 18:08:41,"Muddy, Snowy, Icy, Fallen Trees - Snow at the top makes Kendall katwalk impassable, would not recommend this hike until all snow is gone.",Bad / Closed,-2442,blue,5368,7005404,https://cdn-files.apstatic.com/hike/7004778_medium_1554310774.jpg,https://cdn-files.apstatic.com/hike/7004778_small_1554310774.jpg,https://cdn-files.apstatic.com/hike/7004778_smallMed_1554310774.jpg,https://cdn-files.apstatic.com/hike/7004778_sqsmall_1554310774.jpg,47.4275,10.8,"Riverbend, Washington",-121.4132,3032,Kendall Katwalk,24,4.7,A beautiful hike with stunning views - one of the 100 Classic routes in Washington!,Featured Hike,https://www.hikingproject.com/trail/7005404/kendall-katwalk
